Borough,Grade,Year,BoroughGradeYear,Headcount,Lvl_1_Cnt,Lvl_1_Pct,Lvl_2_Cnt,Lvl_2_Pct,Lvl_3_Cnt,Lvl_3_Pct,Lvl_4_Cnt,Lvl_4_Pct,Lvl_Pass_Cnt,Lvl_Pass_Pct
BRONX,3,2013,BRONX32013,15635,7979,51.0,5105,32.7,2393,15.3,158,1.0,2551,16.3
BRONX,3,2014,BRONX32014,15647,8021,51.3,4949,31.6,2504,16.0,173,1.1,2677,17.1
BRONX,3,2015,BRONX32015,15348,7540,49.1,5061,33.0,2469,16.1,278,1.8,2747,17.9
BRONX,3,2016,BRONX32016,15291,5725,37.4,5437,35.6,3658,23.9,471,3.1,4129,27.0
BRONX,4,2013,BRONX42013,15254,7012,46.0,5946,39.0,1821,11.9,475,3.1,2296,15.1
BRONX,4,2014,BRONX42014,14786,6627,44.8,5497,37.2,2085,14.1,577,3.9,2662,18.0
BRONX,4,2015,BRONX42015,15428,6689,43.4,5960,38.6,2123,13.8,656,4.3,2779,18.0
BRONX,4,2016,BRONX42016,15165,5049,33.3,5954,39.3,3051,20.1,1111,7.3,4162,27.4
BRONX,5,2013,BRONX52013,14893,7190,48.3,5306,35.6,1935,13.0,462,3.1,2397,16.1
BRONX,5,2014,BRONX52014,14543,7246,49.8,5062,34.8,1747,12.0,488,3.4,2235,15.4
BRONX,5,2015,BRONX52015,14288,6825,47.8,5158,36.1,1747,12.2,558,3.9,2305,16.1
BRONX,5,2016,BRONX52016,15033,7221,48.0,4748,31.6,2383,15.9,681,4.5,3064,20.4
BRONX,6,2013,BRONX62013,15077,7303,48.4,6040,40.1,1212,8.0,522,3.5,1734,11.5
BRONX,6,2014,BRONX62014,14211,6049,42.6,6308,44.4,1196,8.4,658,4.6,1854,13.0
BRONX,6,2015,BRONX62015,13844,5926,42.8,5677,41.0,1459,10.5,782,5.6,2241,16.2
BRONX,6,2016,BRONX62016,13261,5172,39.0,5531,41.7,1822,13.7,736,5.6,2558,19.3
BRONX,7,2013,BRONX72013,15225,7780,51.1,5444,35.8,1743,11.4,258,1.7,2001,13.1
BRONX,7,2014,BRONX72014,14533,7426,51.1,5151,35.4,1739,12.0,217,1.5,1956,13.5
BRONX,7,2015,BRONX72015,14187,7342,51.8,4799,33.8,1830,12.9,216,1.5,2046,14.4
BRONX,7,2016,BRONX72016,13745,5152,37.5,5538,40.3,2377,17.3,678,4.9,3055,22.2
BRONX,8,2013,BRONX82013,15265,7831,51.3,5437,35.6,1682,11.0,315,2.1,1997,13.1
BRONX,8,2014,BRONX82014,14883,6378,42.9,6123,41.1,1963,13.2,419,2.8,2382,16.0
BRONX,8,2015,BRONX82015,14355,5766,40.2,5865,40.9,2297,16.0,427,3.0,2724,19.0
BRONX,8,2016,BRONX82016,13995,4295,30.7,5892,42.1,3009,21.5,799,5.7,3808,27.2
BRONX,All Grades,2013,BRONXAll Grades2013,91349,45095,49.4,33278,36.4,10786,11.8,2190,2.4,12976,14.2
BRONX,All Grades,2014,BRONXAll Grades2014,88603,41747,47.1,33090,37.3,11234,12.7,2532,2.9,13766,15.5
BRONX,All Grades,2015,BRONXAll Grades2015,87450,40088,45.8,32520,37.2,11925,13.6,2917,3.3,14842,17.0
BRONX,All Grades,2016,BRONXAll Grades2016,86490,32614,37.7,33100,38.3,16300,18.8,4476,5.2,20776,24.0
BROOKLYN,3,2013,BROOKLYN32013,21569,8460,39.2,7193,33.3,5207,24.1,709,3.3,5916,27.4
BROOKLYN,3,2014,BROOKLYN32014,20917,7954,38.0,6538,31.3,5588,26.7,837,4.0,6425,30.7
BROOKLYN,3,2015,BROOKLYN32015,20587,7537,36.6,6741,32.7,5226,25.4,1083,5.3,6309,30.6
BROOKLYN,3,2016,BROOKLYN32016,20568,5604,27.2,6366,31.0,7012,34.1,1586,7.7,8598,41.8
BROOKLYN,4,2013,BROOKLYN42013,20962,6978,33.3,8228,39.3,3940,18.8,1816,8.7,5756,27.5
BROOKLYN,4,2014,BROOKLYN42014,20532,6561,32.0,7448,36.3,4331,21.1,2192,10.7,6523,31.8
BROOKLYN,4,2015,BROOKLYN42015,20200,6322,31.3,7392,36.6,4130,20.4,2356,11.7,6486,32.1
BROOKLYN,4,2016,BROOKLYN42016,20173,4598,22.8,6917,34.3,5096,25.3,3562,17.7,8658,42.9
BROOKLYN,5,2013,BROOKLYN52013,20519,7407,36.1,7280,35.5,4147,20.2,1685,8.2,5832,28.4
BROOKLYN,5,2014,BROOKLYN52014,19378,6700,34.6,6834,35.3,3848,19.9,1996,10.3,5844,30.2
BROOKLYN,5,2015,BROOKLYN52015,18943,6606,34.9,6773,35.8,3697,19.5,1867,9.9,5564,29.4
BROOKLYN,5,2016,BROOKLYN52016,19186,6766,35.3,5776,30.1,4457,23.2,2187,11.4,6644,34.6
BROOKLYN,6,2013,BROOKLYN62013,20346,7183,35.3,8336,41.0,2650,13.0,2177,10.7,4827,23.7
BROOKLYN,6,2014,BROOKLYN62014,19466,5758,29.6,8654,44.5,2602,13.4,2452,12.6,5054,26.0
BROOKLYN,6,2015,BROOKLYN62015,18642,5567,29.9,7139,38.3,2957,15.9,2979,16.0,5936,31.8
BROOKLYN,6,2016,BROOKLYN62016,18348,4703,25.6,6838,37.3,3779,20.6,3028,16.5,6807,37.1
BROOKLYN,7,2013,BROOKLYN72013,20825,7828,37.6,7637,36.7,3997,19.2,1363,6.5,5360,25.7
BROOKLYN,7,2014,BROOKLYN72014,19727,7152,36.3,7006,35.5,4291,21.8,1278,6.5,5569,28.2
BROOKLYN,7,2015,BROOKLYN72015,19220,7171,37.3,6509,33.9,4351,22.6,1189,6.2,5540,28.8
BROOKLYN,7,2016,BROOKLYN72016,18511,4653,25.1,7045,38.1,4431,23.9,2382,12.9,6813,36.8
BROOKLYN,8,2013,BROOKLYN82013,20838,7900,37.9,7724,37.1,3847,18.5,1367,6.6,5214,25.0
BROOKLYN,8,2014,BROOKLYN82014,20620,6493,31.5,8083,39.2,4292,20.8,1752,8.5,6044,29.3
BROOKLYN,8,2015,BROOKLYN82015,19272,5271,27.4,7422,38.5,4724,24.5,1855,9.6,6579,34.1
BROOKLYN,8,2016,BROOKLYN82016,18683,3908,20.9,7102,38.0,5054,27.1,2619,14.0,7673,41.1
BROOKLYN,All Grades,2013,BROOKLYNAll Grades2013,125059,45756,36.6,46398,37.1,23788,19.0,9117,7.3,32905,26.3
BROOKLYN,All Grades,2014,BROOKLYNAll Grades2014,120640,40618,33.7,44563,36.9,24952,20.7,10507,8.7,35459,29.4
BROOKLYN,All Grades,2015,BROOKLYNAll Grades2015,116864,38474,32.9,41976,35.9,25085,21.5,11329,9.7,36414,31.2
BROOKLYN,All Grades,2016,BROOKLYNAll Grades2016,115469,30232,26.2,40044,34.7,29829,25.8,15364,13.3,45193,39.1
MANHATTAN,3,2013,MANHATTAN32013,9148,3319,36.3,2702,29.5,2571,28.1,556,6.1,3127,34.2
MANHATTAN,3,2014,MANHATTAN32014,9102,3223,35.4,2553,28.0,2760,30.3,566,6.2,3326,36.5
MANHATTAN,3,2015,MANHATTAN32015,8604,2826,32.8,2576,29.9,2520,29.3,682,7.9,3202,37.2
MANHATTAN,3,2016,MANHATTAN32016,8502,1992,23.4,2255,26.5,3185,37.5,1070,12.6,4255,50.0
MANHATTAN,4,2013,MANHATTAN42013,8806,2670,30.3,3182,36.1,1791,20.3,1163,13.2,2954,33.5
MANHATTAN,4,2014,MANHATTAN42014,8947,2704,30.2,2836,31.7,1954,21.8,1453,16.2,3407,38.1
MANHATTAN,4,2015,MANHATTAN42015,8785,2398,27.3,2892,32.9,1854,21.1,1641,18.7,3495,39.8
MANHATTAN,4,2016,MANHATTAN42016,8453,1796,21.2,2648,31.3,2101,24.9,1908,22.6,4009,47.4
MANHATTAN,5,2013,MANHATTAN52013,8205,2723,33.2,2676,32.6,1761,21.5,1045,12.7,2806,34.2
MANHATTAN,5,2014,MANHATTAN52014,8192,2711,33.1,2559,31.2,1619,19.8,1303,15.9,2922,35.7
MANHATTAN,5,2015,MANHATTAN52015,8189,2528,30.9,2554,31.2,1773,21.7,1334,16.3,3107,37.9
MANHATTAN,5,2016,MANHATTAN52016,8181,2675,32.7,2096,25.6,2000,24.4,1410,17.2,3410,41.7
MANHATTAN,6,2013,MANHATTAN62013,8165,2600,31.8,3140,38.5,1126,13.8,1299,15.9,2425,29.7
MANHATTAN,6,2014,MANHATTAN62014,7992,2199,27.5,3256,40.7,1153,14.4,1384,17.3,2537,31.7
MANHATTAN,6,2015,MANHATTAN62015,7991,2240,28.0,2839,35.5,1253,15.7,1659,20.8,2912,36.4
MANHATTAN,6,2016,MANHATTAN62016,7931,1826,23.0,2817,35.5,1689,21.3,1599,20.2,3288,41.5
MANHATTAN,7,2013,MANHATTAN72013,8490,2974,35.0,2896,34.1,1779,21.0,841,9.9,2620,30.9
MANHATTAN,7,2014,MANHATTAN72014,8196,2677,32.7,2802,34.2,2005,24.5,712,8.7,2717,33.2
MANHATTAN,7,2015,MANHATTAN72015,7958,2639,33.2,2506,31.5,2101,26.4,712,8.9,2813,35.3
MANHATTAN,7,2016,MANHATTAN72016,7837,1805,23.0,2602,33.2,2089,26.7,1341,17.1,3430,43.8
MANHATTAN,8,2013,MANHATTAN82013,8342,2922,35.0,2798,33.5,1729,20.7,893,10.7,2622,31.4
MANHATTAN,8,2014,MANHATTAN82014,8660,2570,29.7,3241,37.4,1877,21.7,972,11.2,2849,32.9
MANHATTAN,8,2015,MANHATTAN82015,8098,2112,26.1,2856,35.3,2154,26.6,976,12.1,3130,38.7
MANHATTAN,8,2016,MANHATTAN82016,7810,1639,21.0,2611,33.4,2206,28.2,1354,17.3,3560,45.6
MANHATTAN,All Grades,2013,MANHATTANAll Grades2013,51156,17208,33.6,17394,34.0,10757,21.0,5797,11.3,16554,32.4
MANHATTAN,All Grades,2014,MANHATTANAll Grades2014,51089,16084,31.5,17247,33.8,11368,22.3,6390,12.5,17758,34.8
MANHATTAN,All Grades,2015,MANHATTANAll Grades2015,49625,14743,29.7,16223,32.7,11655,23.5,7004,14.1,18659,37.6
MANHATTAN,All Grades,2016,MANHATTANAll Grades2016,48714,11733,24.1,15029,30.9,13270,27.2,8682,17.8,21952,45.1
QUEENS,3,2013,QUEENS32013,20866,6559,31.4,7224,34.6,6111,29.3,972,4.7,7083,33.9
QUEENS,3,2014,QUEENS32014,20620,6740,32.7,6619,32.1,6310,30.6,951,4.6,7261,35.2
QUEENS,3,2015,QUEENS32015,20727,6477,31.2,6909,33.3,5966,28.8,1375,6.6,7341,35.4
QUEENS,3,2016,QUEENS32016,21588,4704,21.8,7087,32.8,7912,36.6,1885,8.7,9797,45.4
QUEENS,4,2013,QUEENS42013,20373,5532,27.2,8286,40.7,4300,21.1,2255,11.1,6555,32.2
QUEENS,4,2014,QUEENS42014,20250,5277,26.1,7545,37.3,4922,24.3,2506,12.4,7428,36.7
QUEENS,4,2015,QUEENS42015,20312,5238,25.8,7708,37.9,4661,22.9,2705,13.3,7366,36.3
QUEENS,4,2016,QUEENS42016,20570,3668,17.8,7125,34.6,5725,27.8,4052,19.7,9777,47.5
QUEENS,5,2013,QUEENS52013,19959,5733,28.7,7260,36.4,4747,23.8,2219,11.1,6966,34.9
QUEENS,5,2014,QUEENS52014,20110,6154,30.6,7362,36.6,4329,21.5,2265,11.3,6594,32.8
QUEENS,5,2015,QUEENS52015,19851,5464,27.5,7223,36.4,4523,22.8,2641,13.3,7164,36.1
QUEENS,5,2016,QUEENS52016,20160,5875,29.1,6202,30.8,5307,26.3,2776,13.8,8083,40.1
QUEENS,6,2013,QUEENS62013,20007,5588,27.9,8765,43.8,3042,15.2,2612,13.1,5654,28.3
QUEENS,6,2014,QUEENS62014,19563,4822,24.6,8895,45.5,2995,15.3,2851,14.6,5846,29.9
QUEENS,6,2015,QUEENS62015,19746,4866,24.6,8006,40.5,3454,17.5,3420,17.3,6874,34.8
QUEENS,6,2016,QUEENS62016,19731,4273,21.7,7485,37.9,4221,21.4,3752,19.0,7973,40.4
QUEENS,7,2013,QUEENS72013,20169,6009,29.8,7875,39.0,4701,23.3,1584,7.9,6285,31.2
QUEENS,7,2014,QUEENS72014,19925,5988,30.1,7545,37.9,4877,24.5,1515,7.6,6392,32.1
QUEENS,7,2015,QUEENS72015,19472,6028,31.0,6973,35.8,5145,26.4,1326,6.8,6471,33.2
QUEENS,7,2016,QUEENS72016,19724,4063,20.6,7503,38.0,5302,26.9,2856,14.5,8158,41.4
QUEENS,8,2013,QUEENS82013,19678,5937,30.2,7553,38.4,4359,22.2,1829,9.3,6188,31.4
QUEENS,8,2014,QUEENS82014,20279,5007,24.7,8052,39.7,4943,24.4,2277,11.2,7220,35.6
QUEENS,8,2015,QUEENS82015,19928,4535,22.8,7782,39.1,5390,27.0,2221,11.1,7611,38.2
QUEENS,8,2016,QUEENS82016,19286,3202,16.6,6940,36.0,5904,30.6,3240,16.8,9144,47.4
QUEENS,All Grades,2013,QUEENSAll Grades2013,121052,35358,29.2,46963,38.8,27260,22.5,11471,9.5,38731,32.0
QUEENS,All Grades,2014,QUEENSAll Grades2014,120747,33988,28.1,46018,38.1,28376,23.5,12365,10.2,40741,33.7
QUEENS,All Grades,2015,QUEENSAll Grades2015,120036,32608,27.2,44601,37.2,29139,24.3,13688,11.4,42827,35.7
QUEENS,All Grades,2016,QUEENSAll Grades2016,121059,25785,21.3,42342,35.0,34371,28.4,18561,15.3,52932,43.7
STATEN ISLAND,3,2013,STATEN ISLAND32013,4610,1453,31.5,1645,35.7,1339,29.0,173,3.8,1512,32.8
STATEN ISLAND,3,2014,STATEN ISLAND32014,4443,1429,32.2,1407,31.7,1387,31.2,220,5.0,1607,36.2
STATEN ISLAND,3,2015,STATEN ISLAND32015,4535,1458,32.1,1474,32.5,1306,28.8,297,6.5,1603,35.3
STATEN ISLAND,3,2016,STATEN ISLAND32016,4549,985,21.7,1357,29.8,1750,38.5,457,10.0,2207,48.5
STATEN ISLAND,4,2013,STATEN ISLAND42013,4709,1309,27.8,1892,40.2,1060,22.5,448,9.5,1508,32.0
STATEN ISLAND,4,2014,STATEN ISLAND42014,4470,1154,25.8,1725,38.6,1074,24.0,517,11.6,1591,35.6
STATEN ISLAND,4,2015,STATEN ISLAND42015,4378,1115,25.5,1640,37.5,1024,23.4,599,13.7,1623,37.1
STATEN ISLAND,4,2016,STATEN ISLAND42016,4494,828,18.4,1564,34.8,1316,29.3,786,17.5,2102,46.8
STATEN ISLAND,5,2013,STATEN ISLAND52013,4608,1334,28.9,1729,37.5,1110,24.1,435,9.4,1545,33.5
STATEN ISLAND,5,2014,STATEN ISLAND52014,4644,1311,28.2,1785,38.4,1048,22.6,500,10.8,1548,33.3
STATEN ISLAND,5,2015,STATEN ISLAND52015,4422,1226,27.7,1680,38.0,995,22.5,521,11.8,1516,34.3
STATEN ISLAND,5,2016,STATEN ISLAND52016,4342,1190,27.4,1344,31.0,1166,26.9,642,14.8,1808,41.6
STATEN ISLAND,6,2013,STATEN ISLAND62013,4096,1184,28.9,1767,43.1,621,15.2,524,12.8,1145,28.0
STATEN ISLAND,6,2014,STATEN ISLAND62014,4167,859,20.6,1905,45.7,753,18.1,650,15.6,1403,33.7
STATEN ISLAND,6,2015,STATEN ISLAND62015,4225,937,22.2,1717,40.6,784,18.6,787,18.6,1571,37.2
STATEN ISLAND,6,2016,STATEN ISLAND62016,4065,930,22.9,1582,38.9,928,22.8,625,15.4,1553,38.2
STATEN ISLAND,7,2013,STATEN ISLAND72013,4274,1255,29.4,1702,39.8,1035,24.2,282,6.6,1317,30.8
STATEN ISLAND,7,2014,STATEN ISLAND72014,4030,1182,29.3,1541,38.2,1012,25.1,295,7.3,1307,32.4
STATEN ISLAND,7,2015,STATEN ISLAND72015,4150,1085,26.1,1468,35.4,1279,30.8,318,7.7,1597,38.5
STATEN ISLAND,7,2016,STATEN ISLAND72016,4129,814,19.7,1553,37.6,1192,28.9,570,13.8,1762,42.7
STATEN ISLAND,8,2013,STATEN ISLAND82013,4213,1153,27.4,1689,40.1,970,23.0,401,9.5,1371,32.5
STATEN ISLAND,8,2014,STATEN ISLAND82014,4210,933,22.2,1732,41.1,1133,26.9,412,9.8,1545,36.7
STATEN ISLAND,8,2015,STATEN ISLAND82015,3973,781,19.7,1450,36.5,1228,30.9,514,12.9,1742,43.8
STATEN ISLAND,8,2016,STATEN ISLAND82016,4006,662,16.5,1422,35.5,1246,31.1,676,16.9,1922,48.0
STATEN ISLAND,All Grades,2013,STATEN ISLANDAll Grades2013,26510,7688,29.0,10424,39.3,6135,23.1,2263,8.5,8398,31.7
STATEN ISLAND,All Grades,2014,STATEN ISLANDAll Grades2014,25964,6868,26.5,10095,38.9,6407,24.7,2594,10.0,9001,34.7
STATEN ISLAND,All Grades,2015,STATEN ISLANDAll Grades2015,25683,6602,25.7,9429,36.7,6616,25.8,3036,11.8,9652,37.6
STATEN ISLAND,All Grades,2016,STATEN ISLANDAll Grades2016,25585,5409,21.1,8822,34.5,7598,29.7,3756,14.7,11354,44.4